type,title,requires,provides,attributes,rerolls,image,test,disjunction,text,text2
bio,Wrestler’s arm,B,H,PPZ,,Paže wrestlera,,,,
bio,Launchable fist,B,H,PSZ,,vystrelovaci pest copy,,,,
bio,Pickpocketing hand,B,H,SZ,,chmatakova ruka,,,Once per game<br/>round you may take a random card from an opponent’s hand.,
bio,Retracting arm,B,H,SIZ,,natazitelna,,,,
bio,Diablo’s hoof,B,L,PSZ,,kopyto,,,,
bio,Monkey’s leg,B,HL,SSZ,,opici noha-1,,,,
bio,Burning tentacles,B,HH,PZ,,chapadlo,,,,
bio,Dual hand,B,HH,PZ,,dual ruka,,,,
bio,Integrated machine gun,B,,SSZZ,,integrovany rotacak - N,,,,
bio,Megadrill,B,,PPZZ,,megavrtak,,,,
bio,Cyber arm,,H,SZ,,kyber paze,,,,
bio,Elephant’s trunk,,H,PZ,,Sloní chobot,,,,
bio,Robohands,,HH,Z,,dalsie ruky,,,,
bio,Limb extension,,B,Z,,ud nastavec - N,,,,
bio,Limb extension,,B,Z,,ud nastavec - N,,,,
bio,Transparent skin,,,I,,neviditelny plast,,,,
bio,Laser eye,,,P,,laserove oko,,,,
bio,Changeling,,,I,,menavec,,,,
bio,Acid sweat,,,S,,pot aliena,,,,
bio,Acid blood,,,P,,kyselina krev,,,,
bio,Chameleon skin,,,I,,maskovani,,,,
bio,Asian’s brain,,,I,,mozog aziata,,,,
bio,Burning skin,,,P,,žhavá kuže,,,,
bio,Freezing breath,,,P,,Mrazivý dech,,,,
bio,Heart pump,,,S,,Srdecní pumpa,,,,
bio,Hydraulic biceps,,,PZ,,hydraluicky biceps,,,,
bio,Shark’s teeth,,,PZ,,Žraločí zuby ,,,,
bio,Titan teeth,,,PZ,,Titanové zuby,,,,
bio,Bat’s ears,,,IZ,,netopiri usi,,,,
bio,Duck’s stomach,,,PZZ,,kachni zaludek,,,,
bio,Metal bones,,,PZZ,,kovova kostra,,,,
bio,Brave heart,,,ZZZ,,Statečné srdce,,,,
bio,Snooper’s eye,,,IZ,,smirakaovo oko,,,Once per game round you may look at an opponent’s cards in hand.,
bio,Roentgen eye,,,IZ,,rentgenove okp,,,Once per game round you may look at the top card of the quest deck.,
bio,Stone skin,,,,,Kamenná koža,,,"When you lose more than one life, you lose one life less.",
bio,Regeneration,,,,,regenerace,,,You may play upgrades providing lives from dicard pile as you have them in your hand.,
tech,Cleaver,H,,,P1,sekacek,,,,
tech,Bone club,H,,,P1,kyj,,,,
tech,Shovel,H,,,P1,lopata,,,,
tech,Chainknife,H,,,P1,motorovy nuz,,,,
tech,Acid spitter,H,,,P1,Stříkačka kyseliny,,,,
tech,Laser knife,H,,,P1,laser nuz,,,,
tech,Pocket flamethrower,H,,,S1,kapesni zapalovac,,,,
tech,Katana,H,,,PS1,katana,,,,
tech,Spiked boomerang,H,,,PS1,Vyhrocený bumerang,,,,
tech,Dentist’s drill,H,,,PI1,Zubařská vrtacka,,,,
tech,Chewing gum blowgun,H,,,XS1,Flusačka žvýkaček,,,,
tech,Pepper spray,H,,,XP1,Pepřový sprej,,,,
tech,Neuropad,H,,,XI1,neuropad,,,,
tech,Magic wand,H,,,X1,palicka,,,,
tech,Electric spur,L,,,S2,ostruha,,,,
tech,Chakram,H,,,ID,cakram,,,,
tech,Cricket bat,HH,,,D,kriketova palka-1,,,,
tech,Saw chain,HH,,,PS2,Řetězová pila,,,,
tech,Chain saw,HH,,,PS2,motorovka,,,,
tech,Machine gun,HH,,,PS2,rotacak,,,,
tech,Grenade launcher,HH,,,PS3,granatomet,,,,
tech,Plasma rifle,HH,,,PS3,plasmomet,,,,
tech,Rocket launcher,HH,,,PS3,raketomet,,,,
tech,Circular saw,HH,,,PS3,Obouruční cirkulárka,,,,
tech,Hoverboard,LL,,,PS2,board,,,,
tech,Machine gun cart,LL,,,PS3,kulometny vozik,,,,
tech,Electro tricycle,LL,,,PS3,Elektro tříkolka,,,,
tech,Continuous track,BB,,,PS2ZZ,Jízdní pásy,,,,
tech,Roentgen pupils,,,,I1,rentgenove čočky,,,,
tech,Night vision goggles,,,,I1,nocne videnie netreba,,,,
tech,Pocket arsenat,,,,X1,kapesni arsenal,,,,
tech,Welding goggles,,,,🙁,svaracske bryle,,,,
tech,Bulletproof vest,,,,😬Z,vesta,,,,
tech,Metal armor,,,,P1Z,brnenie,,,,
tech,Grenade launcher,,,,,granat,,,Discard this card from play during testing your power before rolling dice. Test is automatically successfull.,
tech,Poisoned torpedo,,,,,torpedo,,,Discard this card from play during testing your speed before rolling dice. Test is automatically successfull.,
voodoo,Guardian angel,,,,,andel,,,😀 ,
voodoo,Kiss of muse,,,,,polibeni,,,😀 ,
voodoo,Sincere fury,,,,,uprimna,,,😀 ,
voodoo,Good dog,,,,,hodny,,,😀 ,
voodoo,Deus ex machina,,,,,deus,,,😀 ,
voodoo,Stroke of luck,,,,,haluz,,,😀 ,
voodoo,Viral meme,,,,,vitezstvi,,,😀 ,
voodoo,Memory of kung-fu movie,,,,,vzpominka,,,😀 ,
voodoo,Scenario twist,,,,,zvrat,,,😀 ,
voodoo,Sprained ankle,,,,,zvrtly,,,😬,
voodoo,Knotty shoelace,,,,,zauzlena,,,😬,
voodoo,Door pinch,,,,,skripnuti,,,😬,
voodoo,Rude hag,,,,,sprosta,,,😬,
voodoo,Evil dog,,,,,zly,,,😬,
voodoo,Enlarging hemorrhoid,,,,,nafukujici,,,😬,
voodoo,Falling pine cone,,,,,padajici,,,😬,
voodoo,Yesterday dinner bad oyster,,,,,zkazena,,,😬,
voodoo,Step into shit,,,,,slapnuti,,,😬,
voodoo,Lightning,,,,,blesk,,,###,
voodoo,Smelly breath,,,,,smradlavy,,,#,
voodoo,Freezing ray,,,,,mrazivyp,,,#,
voodoo,Pyrokinesis,,,,,pyrokineze,,,X😀 or X😬,
voodoo,Talisman,,,,,talisman,,,? => ?,
voodoo,Flaming farts,,,,,plamenne,,,all X🙁,
voodoo,Undead pet,,,,,nemrtvy,,x,all [😐] => [🙂],all [😐] => [🙁]
voodoo,Levitation,,,,,levitace,,x,all X🙂,all X🙁
voodoo,Exploding spit,,,,,explodujici,,,all [😐] => [🙂],all [🙁] => [🙂]
voodoo,Hypnosis,,,,,hypnoza,,,all X😀,all X😬
voodoo,Lullaby croak,,,,,ukolebavajici,,,all [😀] => [🙂],all [😬] => [🙁]
voodoo,Pyromancy,,,,,pyromancie,PS,,(2),
voodoo,Blinding light,,,,,oslepujici,,,Reroll any number of dice in any test.,
voodoo,Brain-mushing scream,,,,,mozkokasici,I,,? => ?,
voodoo,Gaseous form,,,,,plynna,I,,? => ?,
voodoo,Flesh-tearing scream,,,,,masotrhajici,P,x, 🙂🙂,🙁🙁
voodoo,Extatic dance,,,,,extaticky,S,x, 🙂🙂,🙁🙁
voodoo,Demonic look,,,,,demonicky,I,x, 🙂🙂,🙁🙁
voodoo,Shrinkage,,,,,zmenseni,P,x, X😬,all [🙂] => [🙂🙂]
voodoo,Demonic speed,,,,,demonicka,S,x, X😬,all [🙂] => [🙂🙂]
voodoo,Invisibility,,,,,neviditelnost,I,x, X😬,all [🙂] => [🙂🙂]
voodoo,Moment enlightened,,,,,moment,I,x,[😀] => ?,[😬] => ?
voodoo,Concrete vomit,,,,,betonovy,P,x,[😀] => ?,[😬] => ?
voodoo,Omnidirectional field of view,,,,,360,S,,{[🙂][🙂🙂]} =>[😀],
voodoo,Zvětšení,,,,,zvetseni,P,,{[🙂][🙂🙂]} =>[😀],
voodoo,Turn into stone,,,,,zkamenujici,P,,{[🙂][🙂🙂]} =>?,
voodoo,Amok,,,,,amok,P,,{[🙂][🙂🙂][😐]} =>?,
voodoo,Vision,,,,,vize,,,Look at the top 3 cards of any deck and sort them as you wish.,
voodoo,Intuition,,,,,intuice,,,Look at the top 5 cards of upgrade deck and sort them as you wish.,
voodoo,Confusion,,,,,pomateni,,,"In any test, set all dice to opposite side.",
voodoo,Offer a sacrifice,,,,,nabidni,,,During your test choose an opponent which has to try it instead of you. Reroll the dice.,
voodoo,Nostalgic memories,,,,,nostalgicke,,,Take one card from any discard pile.,
voodoo,Demonic inspiration,,,,,dabelska,,,Draw three cards.,
voodoo,Fake trust,,,,,falesna,,,"During an opponent’s test choose a player, who has to try it instead of original player. Reroll the dice.",
voodoo,Allure into trap,,,,,nalakani,,,During an opponent’s turn before choosing a quest you choose which quest the player has to try to achieve.,
voodoo,Random teleportation,,,,,nahodna,,,During any test the player has to try new quest from the top of the deck instead of the original. Reroll the dice.,
voodoo,Rabbit’s foot,,,,,zajeci,,,Pay immediately after another VOODOO card. The card is cancelled.,
voodoo,Sun eruption,,,,,erupce,,,Pay immediately after another VOODOO card. The card is cancelled.,
voodoo,Unexpectable fart,,,,,necekany,,,Pay immediately after another VOODOO card. The card is cancelled.,
voodoo,Brain electroshock,,,,,mozkovy,,,In this turn after evaluating the quest the player has to try to achieve an additional quest.,
voodoo,You have found a lollipop,,,,,nasel,,x,Draw 2 upgrades and play 1 upgrade.,
voodoo,Discounted energy drink,,,,,slevneny,,x,Draw 2 upgrades and play 1 upgrade.,
voodoo,Chocolate cake with strawberries,,,,,cokodortik,,x,Draw 3 upgrades and play 1 or 2 upgrades.,
voodoo,Rot,,,,,zhniti,,,Discard one of opponent’s upgrade providing rerolling during test. ,
voodoo,Undescribable nasty trick,,,,,nepopsatelne,,,Switch all cards in your hand with an opponent.,
voodoo,Resurrection,,,,,zmrtvychvstani,,,All Zombies become Animatrons. Replenish their arms and legs. Draw 1 card.,
voodoo,Charity container,,,,,kontejner,,,Choose a direction. Each player gives the cards in their hand to the player in the chosen direction.,
