type,title,requires,provides,attributes,rerolls,image,test,disjunction,text,text2
quest,Klika namazaná lepidlem,P,1,,,klika_namazana_lepidlem,,,,
quest,Neotevřitelná truhlička,P,1c,,,neotevritelna_truhlicka,,,,
quest,Medvědí past,P,1,,,medvedi_past,,,,
quest,Padající mříž,P,1c,,,padajici_mriz,,,,
quest,Drtička směšného odpadu,P,1,,,drticka_smesneho_odpadu,,,,
quest,Spolknutí vorvaněm,P,1,,,spolknuti_vorvanem,,,,
quest,Lázeň s piraněmi,P,2,,,lazen_s_piranemi,,,,
quest,Lisovna plechu,P,2c,,,lisovna_plechu,,,,
quest,Rajský plyn,P,2,,,rajsky_plyn,,,,
quest,Střevaleptající plyn,P,2,,,strevaleptajici_plyn,,,,
quest,Místnost cirkulárek,P,2c,,,mistnost_cirkularek,,,,
quest,Kyselinokrvý kyanidoslinný biomutant,P,3,,,kyselinokrvykyanidoslinny_biomutant,,,,
quest,Motoropilozubý tygr,P,3c,,,motoropilozuby_tygr,,,,
quest,Tyranosaurus,P,3,,,tyranosaurus,,,,
quest,Kabelnice,P,3cc,,,kabelnice,,,,
quest,Zapastěná truhlička,S,1c,,,zapastena_truhlicka,,,,
quest,Laserový řezák,S,1,,,laserovy_rezak,,,,
quest,Pramen kyseliny,S,1,,,pramen_kyseliny,,,,
quest,Bortící se chodba,S,1,,,bortici_se_chodba,,,,
quest,Propadlo,S,1,,,propadlo,,,,
quest,Úzký můstek,S,1c,,,uzky_mustek,,,,
quest,Ohnivý kruh,S,2,,,ohnivy_kruh,,,,
quest,Žhavé uhlíky,S,2,,,zhave_uhliky,,,,
quest,Bazén kyseliny,S,2c,,,bazen_kyseliny,,,,
quest,Naolejovaná šikmá plocha,S,2,,,naolejovana_sikma_plocha,,,,
quest,Lávová místnost,S,2c,,,lavova_mistnost,,,,
quest,Padající piraně,S,3,,,padajici_pirane,,,,
quest,Motýli s&nbsp;žiletkovými křídly,S,3c,,,motyli_s_ziletkovymi_kridly,,,,
quest,Hejno divokých sršňů,S,3,,,hejno_divokych_srsnu,,,,
quest,Valící se kameň,S,3cc,,,valici_se_kamen,,,,
quest,Otrávená hostina,I,1,,,otravena_hostina,,,,
quest,Lektvar podivuhodného zápachu,I,1,,,lektvar2,,,,
quest,Lektvar podezřele světélkující kapaliny,I,1,,,lektvar1,,,,
quest,Automat s&nbsp;obžerstvením,I,1c,,,automat_s_obzerstvenim,,,,
quest,Hloupý troll,I,1,,,hloupy_troll,,,,
quest,Zamčené dveře,I,1c,,,zamcene_dvere,,,,
quest,Zrcadlový labyrint,I,2,,,zrcadlovy_labyrint,,,,
quest,Šifrovaný vzkaz,I,2c,,,sifrovany_vzkaz,,,,
quest,Zapastěný automat s&nbsp;obžerstvením,I,2c,,,zapasteny_automat_s_obzerstvenim,,,,
quest,Laserová místnost,I,2,,,laserova_mistnost,,,,
quest,Ozubená kola,I,2,,,ozubena_kola,,,,
quest,Nášlapné miny,I,3,,,naslapne_miny,,,,
quest,Místnost bez východu,I,3cc,,,mistnost_bez_vychodu,,,,
quest,Zámek vysokého napětí,I,3c,,,zamek_vysokeho_napeti,,,,
quest,Vrtačkoruký klaun,I,3,,,vrtackoruky_klaun,,,,
animatron,Chuckie,,,,,chuckie,,,,
animatron,Hentai Barbie,,,,,hentaibarbie,,,,
animatron,Číslo 5,,,,,cislo5,,,,
animatron,Humunculus,,,,,humunculus,,,,
animatron,Zombie,,,,,zombie,,,,
animatron,Zombie,,,,,zombie,,,,
animatron,Zombie,,,,,zombie,,,,
animatron,Zombie,,,,,zombie,,,,
animatron,Gaybot,,,,,gaybot,,,,
animatron,Replikant,,,,,replikant,,,,
animatron,Organoid,,,,,organoid,,,,
animatron,Ilegální klon,,,,,klon,,,,
animatron,Zombie,,,,,zombie,,,,
animatron,Zombie,,,,,zombie,,,,
animatron,Zombie,,,,,zombie,,,,
animatron,Zombie,,,,,zombie,,,,
