title,type,affiliation,attributes,image,text,flavor
Predatory alien,trooper,balance,5/0/4/3,lidozrav,Mutant<br>Lethality,There's plenty of food in the city.
Predatory alien,trooper,balance,5/0/4/3,lidozrav,Mutant<br>Lethality,There's plenty of food in the city.
Seekers,trooper,balance,3/3/3/3,patraci,"At the start of your turn, look at the top card of your deck. You can put it at the bottom.",
Seekers,trooper,balance,3/3/3/3,patraci,"At the start of your turn, look at the top card of your deck. You can put it at the bottom.",
Omnivorous pigdog,trooper,balance,2/0/1/1,prasopes,"Mutant<br>@, return a warrior from&nbsp;any grave to the bottom of a deck: +3&nbsp;to&nbsp;👊 a&nbsp;️🛡️ this turn.",
Všežravý prasopes,trooper,balance,2/0/1/1,prasopes,"Mutant<br>@, return a warrior from&nbsp;any grave to the bottom of a deck: +3&nbsp;to&nbsp;👊 a&nbsp;️🛡️ this turn.",
Raptor rider,trooper,balance,4/2/4/3,raptorrider,@: +2 to 👊 and lethality this turn.,Riders on the storm.
Raptor rider,trooper,balance,4/2/4/3,raptorrider,@: +2 to 👊 and lethality this turn.,Riders on the storm.
Bloboid,trooper,balance,5/0/5/3,slizoid,"Mutant<br>At the start of your turn, you get 1 🌕.",
Bloboid,trooper,balance,5/0/5/3,slizoid,"Mutant<br>At the start of your turn, you get 1 🌕.",
Regulator,trooper,balance,3/2/3/3,regulator,"At the end of your turn, if your opponent has more 🌕 than you, they lose 1&nbsp;🌕 and you get 1 🌕.",
Ecofanatic,trooper,balance,1/0/2/1,ekofanatic,Deploying any warrior costs 1 🌕 more.,
Ecofanatic,trooper,balance,1/0/2/1,ekofanatic,Deploying any warrior costs 1 🌕 more.,
Mystic hermit,trooper,balance,1/1/2/2,hermit,"All your other warriors get<br>+2 to 👊, 🎯 and 🛡️.",
Mystic hermit,trooper,balance,1/1/2/2,hermit,"All your other warriors get<br>+2 to 👊, 🎯 and 🛡️.",
Align with Universe,event,balance,,alignment,Copy an event card from opponent's grave.,
Get outta here!,surprise,balance,,escape,Use during combat. Combat is cancelled. You lose 1&nbsp;🏆 (if you have any).,
Piece of junk,surprise,balance,,defect,Target gear is destroyed.,Honest handcraft is the best.
Piece of junk,surprise,balance,,defect,Target gear is destroyed.,Honest handcraft is the best.
Solar eruption,surprise,balance,,eruption,"Target event, factor or surprise card just played is cancelled.",
Solar eruption,surprise,balance,,eruption,"Target event, factor or surprise card just played is cancelled.",
Solar eruption,surprise,balance,,eruption,"Target event, factor or surprise card just played is cancelled.",
Battle lust,event,balance,,battlelust,You get extra @@@! this turn.,Now you will feel the wrath of nature!
Battle lust,event,balance,,battlelust,You get extra @@@! this turn.,Now you will feel the wrath of nature!
Two-handed razorblade,gear,balance,,gilette,Two-handed weapon<br>+4 to 👊,Somebody called for manicure?
Two-handed razorblade,gear,balance,,gilette,Two-handed weapon<br>+4 to 👊,Somebody called for manicure?
Two-handed razorblade,gear,balance,,gilette,Two-handed weapon<br>+4 to 👊,Somebody called for manicure?
Crystal spear,gear,balance,,crystalspear,Two-handed weapon<br>+3 to 👊 and 🎯,Crystal energized by lightning can fry anything.
Crystal spear,gear,balance,,crystalspear,Two-handed weapon<br>+3 to 👊 and 🎯,Crystal energized by lightning can fry anything.
Crystal spear,gear,balance,,crystalspear,Two-handed weapon<br>+3 to 👊 and 🎯,Crystal energized by lightning can fry anything.
Camouflage,gear,balance,,camo,All your warriors get +2 to 🛡️.,Peekaboo!
Camouflage,gear,balance,,camo,All your warriors get +2 to 🛡️.,Peekaboo!
Supply sabotage,event,balance,,sabotage,Look at your opponent's hand and choose a card to put at the bottom of the deck.,
Lookout tower,building,balance,,tower,All your warriors get +1 to 🎯.,Nuclear mushroom sightseeing is life experience. 
Chaos in logistics,surprise,balance,,logistics,Move target just deployed warrior to the bottom of the deck.,
Hydroponic farm,building,balance,,hydrofarm,At the start of your turn you get 1 🌕.,Fresh herbs for fresh mind and fresh digestion.
